,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4726843850949316,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7312920408077823,2.2185131171889054,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285844639120518,3.0026266965436754,2.5542392012536284,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.503474818435527,3.160544524685515,2.8144523273275737,2.2952602036219107,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6434282444159205,3.4118213401590824,3.0635882809113895,2.6688979216562325,1.9982162702437236,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.797541447917448,3.5948775861123345,3.274189926105938,2.9011052958792383,2.3907027900585374,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9085719655967956,3.7395657334366033,3.462474747068456,3.1650736248515794,2.7414212679699164,2.1120329777691444,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853349922727069,3.6777036343710825,3.3852516814836857,3.0221152313636894,2.534214245716641,0.0,11.750000000000002,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99814229037076,3.7798318151344827,3.593098872921455,3.23815328556054,2.8169406857674844,2.1313685548471897,11.668873270711297,12.491374951191508,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.116725449927801,3.960950477883266,3.747544476735688,3.4790351129802044,3.0916754725336255,2.593282561959307,0.0,11.443775968704392,11.426017299569404,11.616967656440295,0.0,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072120482260298,3.894879018819903,3.6853840556820696,3.3487114873826576,2.9393999118217167,2.15051849264756,12.501554936794685,12.375328602131145,11.808446360542453,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.167845496850367,3.991242378573749,3.8202049891223253,3.5794399951713065,3.182137777331452,2.685803157927651,0.0,12.457038751203703,11.813013588187774,12.522574585585714,0.0,0.0,0.0,0.0
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.256784688977929,4.134759279827987,3.9639040761514575,3.7630588930436657,3.513049655982098,3.0468592685127227,2.3254205698696193,11.102729714427987,12.524383982818096,0.0,12.05562889443574,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229784968413152,4.080918568702047,3.919500395276534,3.678211109522762,3.323928653238326,2.822611920751917,0.0,11.697685344763011,11.403210089766619,12.064389620259217,0.0,0.0,0.0,0.0,0.0
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285241286094661,4.210514283936007,4.035685100074862,3.850141899908219,3.582962582496026,3.131230600755996,2.3759051416006653,11.658080857831019,11.417085653334055,11.558803297012952,12.26074674438632,0.0,0.0,0.0,0.0,0.0
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300119641716386,4.168221211115332,3.992502314878418,3.797939792648937,3.485798924230563,2.923159739682136,0.0,12.156638818621287,12.475134385505962,12.634323986753264,12.126017299567971,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.749999999999996,4.2792494608898295,4.122686690633213,3.952418033803727,7.4092132617080155,3.289186775996595,2.5890808432369012,11.738259162070422,12.455300330837687,11.763103089627865,11.974248882993644,0.0,12.383142520105087,0.0,0.0,0.0,0.0
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350465236759011,4.267683977436947,4.069933932717267,3.8909138585603467,3.604620698201714,3.0187508654461053,10.80734643022096,12.14990336705116,11.700714173993747,12.466152220580405,12.251245877174343,11.826017299567974,11.958083264623482,0.0,0.0,0.0,0.0
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347958372875347,4.199968253059008,4.039051570179114,3.813402379653182,3.4433210593482713,2.7760067964434603,11.483138717696171,12.262301541887494,12.664033086968267,12.929339025356693,11.75513746672396,12.886163991361652,12.150000000000002,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372921373329841,4.294972695160762,4.149073680216342,3.987575654531987,3.7236273309162096,3.1964586963551223,10.822859106049473,11.915109227737585,12.236930983211677,12.535387787339412,12.03484399733625,11.836046304518783,11.923236551626918,0.0,0.0,0.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3814043774677405,4.279297991879943,4.125988194489375,3.9077600234953715,3.5961369828005845,2.8358296148357107,11.133470301177553,12.115229173637436,12.390447909001004,11.945880635003775,11.534469274749794,12.279088650531618,13.744058795523468,12.217236885388449,0.0,0.0,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393957689383937,4.246872041459249,4.062917478612636,3.8544716792287517,3.41673160008953,10.77296859954294,11.75751599563953,11.864546218053349,12.798162680933537,12.421471987620842,13.049999999998752,12.212628799412906,12.250000000000002,0.0,12.258710371191567,0.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.402005269572831,4.339733460480299,4.203259780149588,4.005514981615505,3.7723341370707546,3.0655640886220255,11.284468037750639,12.096978809404067,12.2335201291983,12.632981819579845,12.331600308851307,12.747855724267843,12.314681962772047,12.899659159260196,12.650000000000002,12.38081383965444,12.344788122062662,0.0,0.0
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.415654198025535,4.3114769199670055,4.1449686568962845,3.943444539858274,3.6540607640002896,10.738164811814018,11.434137775056717,12.06884651088839,12.475943783569395,12.18105837150432,12.726850470972266,12.310139544200805,13.013823011149261,12.080798093607687,12.050000000000002,0.0,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.412203358827888,4.259445823423634,4.1211741943314895,3.878966269768067,3.4304417220337875,11.135609101117744,11.633100580479052,12.306328084362928,12.6565554217164,12.855052376376898,13.03370126128358,13.80952100191752,13.038952226111842,12.520973533445705,12.194769129572014,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372254841849916,4.2671306713264165,4.048279114513408,3.7989910223479204,48.89127870687249,11.409041823736459,11.741983585497906,12.326579781153933,12.192570110154502,13.016865335306214,12.283781100028472,11.810188017527983,11.916995216118467,12.121492022904803,12.479688123190737,0.0,0.0,0.0,0.0
